label,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Approximate Nearest Neighbor Search Algorithms,1.9047619047619049,0.6993006993006993,0.7246376811594203,1.910828025477707,1.639344262295082,0.4032258064516129,0.38461538461538464,1.509433962264151,0.33222591362126247,3.1609195402298855
Approximate Similarity Search and Community Detection,3.8095238095238098,3.4965034965034967,2.1739130434782608,1.2738853503184715,1.639344262295082,1.6129032258064515,1.5384615384615385,2.2641509433962264,1.3289036544850499,1.4367816091954022
Blockchain and Distributed Ledger Databases,0.0,1.3986013986013985,1.4492753623188406,3.1847133757961785,3.278688524590164,1.6129032258064515,3.076923076923077,2.6415094339622645,1.9933554817275747,1.7241379310344827
Causal Inference from Observational Data,0.0,0.6993006993006993,0.7246376811594203,0.0,0.546448087431694,0.4032258064516129,1.5384615384615385,0.37735849056603776,0.6644518272425249,2.2988505747126435
Cloud Database Systems and Clustering,4.761904761904762,4.195804195804196,5.072463768115942,8.280254777070063,7.103825136612022,4.032258064516129,5.384615384615385,8.679245283018867,6.312292358803987,7.183908045977011
Crowdsourcing Algorithms and Worker Selection,3.8095238095238098,4.895104895104895,2.1739130434782608,2.547770700636943,0.546448087431694,0.0,1.153846153846154,0.37735849056603776,0.0,0.0
Data Analysis and Query Processing,0.0,0.0,0.7246376811594203,0.6369426751592357,1.092896174863388,3.225806451612903,2.307692307692308,1.1320754716981132,0.33222591362126247,0.5747126436781609
Data Analytics and Recommendation Systems,0.0,5.594405594405594,2.1739130434782608,1.2738853503184715,2.73224043715847,1.6129032258064515,0.7692307692307693,3.018867924528302,1.6611295681063125,0.28735632183908044
Data Management and Processing Systems,2.857142857142857,2.797202797202797,4.3478260869565215,1.910828025477707,0.546448087431694,2.0161290322580645,1.153846153846154,0.7547169811320755,0.9966777408637874,1.1494252873563218
Data Partitioning and Query Optimization,2.857142857142857,6.293706293706294,1.4492753623188406,4.45859872611465,5.46448087431694,3.225806451612903,4.230769230769231,1.1320754716981132,1.3289036544850499,2.586206896551724
Data Quality and Anomaly Detection,1.9047619047619049,1.3986013986013985,1.4492753623188406,0.0,1.639344262295082,1.6129032258064515,3.4615384615384617,2.6415094339622645,6.312292358803987,4.310344827586207
Data Quality and Error Detection,6.666666666666667,2.097902097902098,0.0,1.2738853503184715,1.092896174863388,0.4032258064516129,0.38461538461538464,0.0,1.9933554817275747,0.8620689655172413
Database Data Processing and Schema Management,0.0,0.6993006993006993,1.4492753623188406,1.2738853503184715,1.092896174863388,0.4032258064516129,1.153846153846154,1.1320754716981132,0.33222591362126247,0.5747126436781609
Database Query Processing and Data Integration,10.476190476190476,7.6923076923076925,7.246376811594203,3.821656050955414,6.557377049180328,7.258064516129033,9.615384615384617,7.9245283018867925,1.9933554817275747,7.183908045977011
Database Query Processing and Recommendation Systems,4.761904761904762,6.993006993006993,7.971014492753622,5.7324840764331215,6.0109289617486334,6.451612903225806,6.538461538461539,8.679245283018867,12.956810631229235,15.229885057471265
Database Schema Integration and Benchmarking,8.571428571428571,5.594405594405594,5.797101449275362,5.7324840764331215,4.918032786885246,4.435483870967742,2.6923076923076925,3.7735849056603774,0.9966777408637874,2.2988505747126435
Dataset Management and Data Quality,2.857142857142857,2.097902097902098,1.4492753623188406,0.6369426751592357,2.185792349726776,3.225806451612903,3.076923076923077,3.018867924528302,3.322259136212625,3.4482758620689653
Differential Privacy for Database Protection,2.857142857142857,0.6993006993006993,3.6231884057971016,3.1847133757961785,2.185792349726776,3.225806451612903,1.5384615384615385,4.528301886792453,1.6611295681063125,1.1494252873563218
Entity Resolution and Data Blocking,1.9047619047619049,0.0,0.7246376811594203,0.0,0.546448087431694,0.8064516129032258,1.153846153846154,1.8867924528301887,0.33222591362126247,0.5747126436781609
GPU-Accelerated Data Processing Systems,0.9523809523809524,0.0,0.0,1.2738853503184715,0.546448087431694,0.8064516129032258,0.7692307692307693,0.37735849056603776,1.3289036544850499,0.8620689655172413
Graph Clustering and Network Analysis,14.285714285714285,13.286713286713287,13.043478260869565,17.197452229299362,11.475409836065573,15.725806451612904,18.846153846153847,16.22641509433962,22.92358803986711,20.402298850574713
Interactive Systems for Fraud Detection Rules,0.9523809523809524,0.6993006993006993,0.7246376811594203,1.2738853503184715,0.0,1.2096774193548387,1.5384615384615385,2.2641509433962264,2.990033222591362,2.0114942528735633
Machine Learning on Distributed Databases,4.761904761904762,2.097902097902098,7.246376811594203,7.643312101910828,4.371584699453552,10.483870967741936,5.384615384615385,3.7735849056603774,2.3255813953488373,2.2988505747126435
Main-Memory Database Performance Optimization,3.8095238095238098,6.293706293706294,5.072463768115942,7.006369426751593,10.382513661202186,4.435483870967742,6.153846153846154,4.905660377358491,4.651162790697675,4.022988505747127
Natural Language Querying of Databases,0.9523809523809524,0.6993006993006993,3.6231884057971016,1.910828025477707,2.73224043715847,2.82258064516129,1.9230769230769231,3.018867924528302,5.647840531561462,5.172413793103448
Privacy-Preserving Data Analysis Algorithms,0.0,1.3986013986013985,0.7246376811594203,1.2738853503184715,2.185792349726776,1.6129032258064515,1.5384615384615385,1.1320754716981132,1.9933554817275747,0.8620689655172413
Query Optimization and Processing Techniques,7.6190476190476195,2.097902097902098,7.246376811594203,4.45859872611465,2.185792349726776,3.6290322580645165,1.5384615384615385,3.018867924528302,3.9867109634551494,2.8735632183908044
Query Optimization in Distributed Analytics,0.9523809523809524,0.0,1.4492753623188406,2.547770700636943,2.185792349726776,1.6129032258064515,1.5384615384615385,2.6415094339622645,1.9933554817275747,0.5747126436781609
Road Network Data Analysis and Query Processing,0.0,0.6993006993006993,1.4492753623188406,0.0,2.73224043715847,1.6129032258064515,1.153846153846154,1.8867924528301887,2.3255813953488373,0.28735632183908044
Set Similarity Search and Matching,0.9523809523809524,3.4965034965034967,2.898550724637681,1.910828025477707,2.73224043715847,2.82258064516129,0.7692307692307693,0.7547169811320755,0.9966777408637874,0.5747126436781609
Shortest Path Algorithms on Networks,2.857142857142857,1.3986013986013985,0.7246376811594203,1.2738853503184715,1.092896174863388,1.2096774193548387,1.9230769230769231,0.0,0.6644518272425249,0.5747126436781609
Social Network Influence and Maximization,0.9523809523809524,3.4965034965034967,0.0,0.6369426751592357,1.092896174863388,1.2096774193548387,1.153846153846154,0.7547169811320755,0.33222591362126247,0.28735632183908044
Stream Processing Latency and Memory Management,0.9523809523809524,4.195804195804196,2.898550724637681,1.910828025477707,1.092896174863388,1.2096774193548387,0.38461538461538464,0.37735849056603776,0.6644518272425249,0.28735632183908044
Time Series Data Stream Analysis,0.0,2.097902097902098,0.7246376811594203,1.2738853503184715,2.185792349726776,2.4193548387096775,3.8461538461538463,2.6415094339622645,2.3255813953488373,2.8735632183908044
Top-k Query Result Sampling and Summarization,0.0,0.6993006993006993,1.4492753623188406,1.2738853503184715,2.185792349726776,1.2096774193548387,0.38461538461538464,0.7547169811320755,0.0,0.0
