year,topic
2019,-1
2019,-1
2019,12
2019,0
2019,-1
2019,-1
2019,1
2019,0
2019,-1
2019,3
2019,-1
2019,28
2019,8
2019,7
2019,1
2019,20
2019,-1
2019,4
2019,15
2019,0
2019,1
2019,-1
2019,14
2019,-1
2019,-1
2019,-1
2019,-1
2019,11
2019,5
2019,-1
2019,3
2019,6
2019,4
2019,9
2019,2
2019,14
2019,0
2019,5
2019,6
2019,17
2019,14
2019,23
2019,-1
2019,9
2019,-1
2019,12
2019,0
2019,4
2019,7
2019,7
2019,0
2019,7
2019,4
2019,13
2019,5
2019,0
2019,24
2019,29
2019,-1
2019,-1
2019,-1
2019,26
2019,9
2019,2
2019,5
2019,-1
2019,12
2019,-1
2019,-1
2019,17
2019,-1
2019,16
2019,-1
2019,19
2019,5
2019,-1
2019,21
2019,21
2019,9
2019,24
2019,23
2019,-1
2019,-1
2019,3
2019,5
2019,8
2019,-1
2019,-1
2019,33
2019,-1
2019,-1
2019,19
2019,-1
2019,6
2019,-1
2019,3
2019,14
2019,17
2019,6
2019,-1
2019,-1
2019,0
2019,-1
2019,-1
2019,-1
2019,27
2019,5
2019,-1
2019,27
2019,12
2019,-1
2019,7
2019,16
2019,1
2019,3
2019,3
2019,4
2019,18
2019,0
2019,3
2019,-1
2019,1
2019,19
2019,3
2019,1
2019,3
2019,4
2019,0
2019,8
2019,7
2019,5
2019,-1
2019,0
2019,4
2019,3
2019,4
2019,-1
2019,7
2019,9
2019,3
2019,-1
2019,6
2019,6
2019,-1
2019,-1
2019,0
2019,2
2019,34
2019,0
2019,9
2019,34
2019,-1
2019,-1
2019,20
2019,-1
2019,-1
2019,0
2019,0
2019,5
2019,9
2019,27
2019,0
2019,-1
2019,6
2019,0
2019,13
2019,5
2019,23
2019,0
2019,0
2019,-1
2019,25
2019,4
2019,33
2019,2
2019,27
2019,1
2019,1
2019,1
2019,3
2019,3
2019,0
2019,0
2019,0
2019,-1
2019,4
2019,19
2019,6
2019,25
2019,-1
2019,0
2019,2
2019,6
2019,32
2019,5
2019,5
2019,4
2019,-1
2019,0
2019,0
2019,0
2019,0
2019,20
2019,12
2019,2
2019,-1
2019,14
2019,32
2019,-1
2020,9
2020,-1
2020,0
2020,-1
2020,22
2020,-1
2020,4
2020,-1
2020,13
2020,33
2020,-1
2020,4
2020,26
2020,3
2020,-1
2020,2
2020,27
2020,21
2020,9
2020,0
2020,-1
2020,12
2020,4
2020,14
2020,4
2020,12
2020,-1
2020,5
2020,-1
2020,20
2020,-1
2020,4
2020,23
2020,0
2020,-1
2020,23
2020,29
2020,0
2020,0
2020,14
2020,4
2020,22
2020,1
2020,34
2020,0
2020,29
2020,0
2020,-1
2020,0
2020,1
2020,-1
2020,2
2020,-1
2020,15
2020,8
2020,1
2020,8
2020,10
2020,25
2020,-1
2020,13
2020,8
2020,0
2020,0
2020,2
2020,7
2020,12
2020,5
2020,-1
2020,-1
2020,0
2020,4
2020,16
2020,4
2020,8
2020,6
2020,9
2020,1
2020,6
2020,21
2020,15
2020,-1
2020,9
2020,34
2020,5
2020,-1
2020,-1
2020,-1
2020,-1
2020,11
2020,28
2020,-1
2020,-1
2020,2
2020,-1
2020,-1
2020,23
2020,0
2020,-1
2020,-1
2020,-1
2020,2
2020,34
2020,2
2020,-1
2020,-1
2020,3
2020,16
2020,19
2020,-1
2020,26
2020,2
2020,-1
2020,-1
2020,0
2020,4
2020,-1
2020,-1
2020,-1
2020,5
2020,5
2020,-1
2020,-1
2020,-1
2020,-1
2020,-1
2020,6
2020,-1
2020,8
2020,10
2020,16
2020,7
2020,6
2020,5
2020,14
2020,9
2020,-1
2020,10
2020,-1
2020,9
2020,31
2020,-1
2020,24
2020,17
2020,12
2020,-1
2020,-1
2020,11
2020,13
2020,-1
2020,-1
2020,6
2020,22
2020,3
2020,-1
2020,-1
2020,0
2020,20
2020,9
2020,30
2020,-1
2020,-1
2020,-1
2020,21
2020,-1
2020,32
2020,2
2020,-1
2020,3
2020,-1
2020,1
2020,9
2020,3
2020,32
2020,0
2020,-1
2020,1
2020,3
2020,3
2020,19
2020,22
2020,3
2020,-1
2020,3
2020,-1
2020,-1
2020,3
2020,-1
2020,-1
2020,3
2020,19
2020,4
2020,-1
2020,-1
2020,-1
2020,-1
2020,6
2020,3
2020,7
2020,5
2020,6
2020,20
2020,14
2020,-1
2020,1
2020,-1
2020,-1
2020,11
2020,2
2020,9
2020,-1
2020,19
2020,1
2020,4
2020,21
2020,-1
2020,9
2020,0
2020,20
2020,1
2020,4
2020,34
2020,-1
2020,4
2020,-1
2020,2
2020,4
2020,1
2020,16
2020,-1
2020,2
2020,4
2020,16
2020,-1
2020,-1
2020,-1
2020,4
2020,3
2020,28
2020,-1
2020,4
2020,-1
2020,0
2020,0
2020,24
2020,0
2020,25
2020,20
2020,-1
2020,6
2020,7
2020,13
2020,0
2020,5
2020,1
2020,-1
2020,4
2020,15
2020,14
2020,-1
2020,14
2020,-1
2020,4
2020,11
2020,6
2020,0
2020,22
2020,2
2021,26
2021,15
2021,7
2021,-1
2021,5
2021,0
2021,0
2021,7
